GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
5856	cytoskeleton	"94 out of 2105 genes, 4.5%"	"191 out of 6473 background genes, 3.0%"	0.00051	0.00%	BFA1:C1_00570C_A:CMP1:SIZ1:ESP1:C1_02100W_A:SEP7:AGE3:GSC1:ENG1:BNI4:RGD1:ARC35:SOG2:BBC1:BUD6:C1_10090C_A:C1_10540C_A:C1_11250W_A:GIN4:CTA3:KIP4:BNI1:SEC2:KAR9:CDH1:C2_01390W_A:SLA1:SPR3:PAN1:CDC15:C2_05270W_A:SCP1:RTS1:DBF2:LSP1:ARP3:VRP1:KAR3:RAS1:KIP2:C3_00790W_A:C3_01510W_A:USO5:PKC1:PIN3:KIP3:ASE1:ISW2:C3_06610W_A:C3_07110W_A:C4_00420C_A:C4_00780C_A:MLP1:ASK1:RGA2:C4_02400C_A:ABP1:AXL2:MYO5:SNF1:MYO1:CDC24:CST20:INT1:HSL1:C5_03170C_A:GRR1:C5_04890C_A:C6_00260W_A:ACF2:IPL1:HRR25:SAC6:RVS167:C7_00410C_A:C7_00670C_A:IQG1:CRN1:SFI1:SLA2:BNR1:CR_00600C_A:CR_01180W_A:INN1:CR_04020C_A:SRV2:MHP1:KIP1:CR_08290W_A:MPS1:CR_08980C_A:CR_09520C_A:WAL1	99079:9986:44853:36286:51286:5881:1990023:120106:5887:32153:44697:110131:31562:5955:930:32177:31520:1902716:35371:5875:5880:120105:61496:776:131:5768:5794:5938:1990334:5856:1990498:159:5680:1903754:778:99070:110085:120155:16460:1904511:1990385:5825:35838:44732:1903561:922:5874:5641:71521:5737:70390:936:51233:5884:31521:42729:30428:61645:5934:144:120104:98753:51285:5829:1990819:120171:45160:30479:235:5730:140224:61673:5628:72324:942:407:30133:30427:5816:5621:1990964:775:35841:9898:148:5940:19005:5869:5635:32133:935:30688:71958:43332:1400:72687:110115:32432:36362:228:31105:5935:70850:44615:71341:32126:5819:70319:16020:5634:32168:32174:5576:5885:30139:5654:5619:32154:8290:1990528:5886:5622:142:31097:5777:61499:8623:133:31588:9277:5933:5828:5802:90726:15630:55028:33551:5774:16021:72686:5876:34973:5872:941:5643:36449:1411:35974:34399
43332	mating projection tip	"40 out of 2105 genes, 1.9%"	"65 out of 6473 background genes, 1.0%"	0.00076	0.00%	KEL1:MOB2:GSC1:ENG1:SOG2:BUD6:CBK1:PEA2:KIP4:SPA2:BNI1:KAR9:ROM2:KIC1:MKK2:RAS1:CAS4:HST6:BEM1:BEM3:C4_03110W_A:FAV1:MYO5:SEC3:CEK1:C5_00570W_A:CDC24:CST20:C6_00260W_A:FIG1:ACF2:C6_02090C_A:RVS167:BEM2:CRN1:LRG1:RHO1:HST7:AXL1:WAL1	9986:44853:51286:5881:32153:31560:1990531:31562:30140:32177:31520:1902716:5875:120105:145:131:5794:5938:10494:778:110085:44732:1903561:71521:5737:936:5884:31521:30428:5934:70250:120104:51285:5829:1990819:120171:45160:30479:140224:5628:72324:70867:329:30427:5816:35841:148:5635:935:43332:5935:71341:16020:5634:32168:5576:30139:32154:1990528:5886:5622:31097:142:5777:1990615:31561:133:9277:5933:5802:90726:16021:72686:5876:1411:12505:35974
9986	cell surface	"97 out of 2105 genes, 4.6%"	"200 out of 6473 background genes, 3.1%"	0.00079	0.00%	PHR2:PGA5:ECM33:ENG1:PGA45:RBT4:PHO100:PGA6:FGR41:RAX2:CHS3:HYR1:SIM1:RBE1:SOD4:SOD5:PGA27:PLB4.5:MSB2:PGA17:PGA33:SSC1:PGA46:YWP1:PGA55:C2_08990C_A:IFF6:EAP1:MP65:IFF11:FGR23:PGA18:ALS6:ALS7:PGA32:PGA7:RBT5:ATP2:PGA10:PGA57:PGA53:RPL20B:BGL2:PGA59:PGA62:PGA38:CRH11:DOT4:HWP2:RBT1:HWP1:PGA30:PGA31:EFB1:PHR1:PGA49:PGA41:IFF5:PDC11:IFF8:HYR3:INT1:PGA58:MID1:SCW11:CHT2:PGA37:PGA4:PGA25:SUN41:PGA60:ALS5:ALS1:ALS9:IHD1:PGA61:ALS4:ALS2:CSA1:SSR1:HSP90:RBR3:CHT1:IFF4:PGA34:IFF3:TAL1:IFF9:RBR1:PGA39:STE2:ALS3:SSB1:PGA13:CHS2:CHT3:PGA12	9986:46658:5887:32153:45261:5853:62040:131:30287:10494:1903561:5737:936:35840:5937:30428:45121:45009:30446:5829:1990819:5783:33101:5730:5628:42645:30427:5621:22625:35841:5940:5840:30134:5935:30445:16020:5634:5576:46809:5886:5622:142:5743:9277:5933:5754:31314:16021:5844:1405:5739:1411:34399
5618	cell wall	"81 out of 2105 genes, 3.8%"	"163 out of 6473 background genes, 2.5%"	0.00179	0.00%	PHR2:ECM33:ENG1:PGA45:ATC1:NOT5:PGA6:RAX2:C1_13290W_A:HYR1:SIM1:RBE1:SOD4:SOD5:SPR3:SSC1:DSE1:YWP1:IPP1:PIR1:IFF6:EAP1:MP65:IFF11:WSC1:RAX1:ALS6:ALS7:PHR3:RBT5:MET15:PGA10:BGL2:PGA59:PGA62:CRH11:DOT4:ECE1:HWP2:RBT1:HWP1:PGA30:PGA31:PHR1:IFF5:PDC11:BUD2:IFF8:HYR3:CYC3:INT1:C5_02500C_A:C5_03170C_A:SCW11:CHT2:PGA4:RPS13:SUN41:FIG1:ALS5:ALS1:ALS9:ALS4:ALS2:CSA1:C7_00190W_A:SSR1:HSP90:RBR3:CHT1:IFF4:RSR1:IFF3:TAL1:IFF9:ALS3:SSB1:CR_08380C_A:PGA13:CHT3:XYL2	9986:46658:32153:22627:32177:30015:31160:62040:131:5938:30287:10494:324:1903561:5737:936:35840:5937:30428:45121:30014:70250:30446:5829:1990819:33101:5730:5628:42645:30427:5621:35841:5940:43332:32473:30134:31105:5935:30445:16020:5634:32174:5576:5619:46809:5886:5622:142:5743:9277:5933:31314:5774:5844:1405:5758:5739:1411:34399
9277	fungal-type cell wall	"81 out of 2105 genes, 3.8%"	"163 out of 6473 background genes, 2.5%"	0.00179	0.00%	PHR2:ECM33:ENG1:PGA45:ATC1:NOT5:PGA6:RAX2:C1_13290W_A:HYR1:SIM1:RBE1:SOD4:SOD5:SPR3:SSC1:DSE1:YWP1:IPP1:PIR1:IFF6:EAP1:MP65:IFF11:WSC1:RAX1:ALS6:ALS7:PHR3:RBT5:MET15:PGA10:BGL2:PGA59:PGA62:CRH11:DOT4:ECE1:HWP2:RBT1:HWP1:PGA30:PGA31:PHR1:IFF5:PDC11:BUD2:IFF8:HYR3:CYC3:INT1:C5_02500C_A:C5_03170C_A:SCW11:CHT2:PGA4:RPS13:SUN41:FIG1:ALS5:ALS1:ALS9:ALS4:ALS2:CSA1:C7_00190W_A:SSR1:HSP90:RBR3:CHT1:IFF4:RSR1:IFF3:TAL1:IFF9:ALS3:SSB1:CR_08380C_A:PGA13:CHT3:XYL2	9986:46658:32153:22627:32177:30015:31160:62040:131:5938:30287:10494:324:1903561:5737:936:35840:5937:30428:45121:30014:70250:30446:5829:1990819:33101:5730:5628:42645:30427:5621:35841:5940:43332:32473:30134:31105:5935:30445:16020:5634:32174:5576:5619:46809:5886:5622:142:5743:9277:5933:31314:5774:5844:1405:5758:5739:1411:34399
30863	cortical cytoskeleton	"44 out of 2105 genes, 2.1%"	"76 out of 6473 background genes, 1.2%"	0.0024	0.25%	CMP1:GSC1:RGD1:BBC1:C1_10090C_A:C1_10540C_A:C1_11250W_A:CTA3:BNI1:C2_01390W_A:SLA1:PAN1:SCP1:DBF2:LSP1:ARP3:VRP1:KAR3:KIP2:C3_01510W_A:PIN3:C4_00780C_A:RGA2:ABP1:MYO5:MYO1:CST20:INT1:GRR1:SAC6:RVS167:C7_00410C_A:C7_00670C_A:IQG1:CRN1:SLA2:BNR1:CR_00600C_A:CR_01180W_A:INN1:SRV2:CR_08290W_A:CR_08980C_A:WAL1	99079:9986:44853:36286:51286:5881:1990023:120106:32153:44697:110131:5955:930:32177:31520:1902716:35371:5875:5880:120105:5768:131:5794:5938:1903754:778:110085:120155:16460:35838:44732:1903561:922:71521:5737:936:51233:5884:31521:30428:5934:120104:98753:51285:5829:1990819:45160:30479:235:140224:61673:5628:30427:5816:5621:1990964:35841:9898:148:5940:19005:935:43332:32432:36362:5935:71341:32126:5819:16020:5634:5885:30139:32154:8290:1990528:5886:5622:31097:142:133:5933:15630:55028:16021:72686:5876:34973:5872:5643:36449:1411
51286	cell tip	"65 out of 2105 genes, 3.1%"	"125 out of 6473 background genes, 1.9%"	0.00246	0.24%	KEL1:PHR2:MOB2:GSC1:ENG1:RGD1:SOG2:BUD6:CBK1:PEA2:C1_11250W_A:CTA3:KIP4:RAX2:SPA2:BNI1:SEC2:KAR9:ROM2:STE11:KIC1:MKK2:RTS1:ARP3:RAS1:CAS4:TEA1:HST6:EVP1:BEM1:BEM3:C4_03110W_A:FAV1:MYO5:SEC3:CEK1:BUD2:C5_00570W_A:RCY1:CDC24:CST20:C6_00260W_A:FIG1:ACF2:SLM2:C6_02090C_A:SAC6:RVS167:SAC7:BEM2:CRN1:EXO70:C7_03480W_A:BNR1:KIN2:LRG1:RHO1:HST7:SRV2:BUD5:CR_07190W_A:RGD3:CHS2:AXL1:WAL1	99079:9986:44853:46658:51286:5881:1990023:120106:32153:31560:1990531:31562:30140:32177:31520:1902716:35371:5875:120105:5880:145:776:5768:131:5794:5938:159:10494:778:110085:35838:44732:1903561:922:71521:5737:936:51233:35840:5884:31521:30428:45121:5934:70250:120104:98753:45009:30446:51285:5829:1990819:120171:45160:30479:235:140224:61673:5628:72324:30133:70867:329:30427:5816:5621:35839:775:35841:148:5635:935:43332:32432:30134:5935:30445:1990873:32178:71341:5819:70319:16020:5634:32168:5576:5885:30139:32154:1990528:5886:5622:31097:142:5777:1990615:31561:133:9277:5933:5802:90726:15630:55028:35842:16021:72686:5876:1411:12505:35974:34399
60187	cell pole	"65 out of 2105 genes, 3.1%"	"125 out of 6473 background genes, 1.9%"	0.00246	0.22%	KEL1:PHR2:MOB2:GSC1:ENG1:RGD1:SOG2:BUD6:CBK1:PEA2:C1_11250W_A:CTA3:KIP4:RAX2:SPA2:BNI1:SEC2:KAR9:ROM2:STE11:KIC1:MKK2:RTS1:ARP3:RAS1:CAS4:TEA1:HST6:EVP1:BEM1:BEM3:C4_03110W_A:FAV1:MYO5:SEC3:CEK1:BUD2:C5_00570W_A:RCY1:CDC24:CST20:C6_00260W_A:FIG1:ACF2:SLM2:C6_02090C_A:SAC6:RVS167:SAC7:BEM2:CRN1:EXO70:C7_03480W_A:BNR1:KIN2:LRG1:RHO1:HST7:SRV2:BUD5:CR_07190W_A:RGD3:CHS2:AXL1:WAL1	99079:9986:44853:46658:51286:5881:1990023:120106:32153:31560:1990531:31562:30140:32177:31520:1902716:35371:5875:120105:5880:145:776:5768:131:5794:5938:159:10494:778:110085:35838:44732:1903561:922:71521:5737:936:51233:35840:5884:31521:30428:45121:5934:70250:120104:98753:45009:30446:51285:5829:1990819:120171:45160:30479:235:140224:61673:5628:72324:30133:70867:329:30427:5816:5621:35839:775:35841:148:5635:935:43332:32432:30134:5935:30445:1990873:32178:71341:5819:70319:16020:5634:32168:5576:5885:30139:32154:1990528:5886:5622:31097:142:5777:1990615:31561:133:9277:5933:5802:90726:15630:55028:35842:16021:72686:5876:1411:12505:35974:34399
120025	plasma membrane bounded cell projection	"45 out of 2105 genes, 2.1%"	"79 out of 6473 background genes, 1.2%"	0.00341	0.32%	KEL1:MOB2:GSC1:ENG1:SOG2:BUD6:CBK1:PEA2:KIP4:SPA2:BNI1:KAR9:ROM2:KIC1:MKK2:IFF6:RAS1:CAS4:YCK2:HST6:C4_00420C_A:BEM1:BEM3:C4_03110W_A:HWP1:FAV1:MYO5:SEC3:CEK1:C5_00570W_A:CDC24:CST20:C5_03960W_A:C6_00260W_A:FIG1:ACF2:C6_02090C_A:RVS167:BEM2:CRN1:LRG1:RHO1:HST7:AXL1:WAL1	9986:44853:51286:5881:32153:31560:1990531:31562:30140:32177:31520:1902716:5875:120105:145:131:5794:5938:10494:778:110085:44732:1903561:71521:5737:936:5884:31521:5937:30428:61645:144:5934:70250:120104:30446:51285:5829:1990819:120171:45160:30479:33101:140224:5628:72324:70867:329:30427:5816:35841:148:5635:935:43332:1400:5935:71341:16020:5634:32168:5576:30139:32154:1990528:5886:5622:31097:142:5777:1990615:31561:133:9277:5933:5802:90726:16021:72686:5876:1411:12505:35974
42995	cell projection	"45 out of 2105 genes, 2.1%"	"79 out of 6473 background genes, 1.2%"	0.00341	0.30%	KEL1:MOB2:GSC1:ENG1:SOG2:BUD6:CBK1:PEA2:KIP4:SPA2:BNI1:KAR9:ROM2:KIC1:MKK2:IFF6:RAS1:CAS4:YCK2:HST6:C4_00420C_A:BEM1:BEM3:C4_03110W_A:HWP1:FAV1:MYO5:SEC3:CEK1:C5_00570W_A:CDC24:CST20:C5_03960W_A:C6_00260W_A:FIG1:ACF2:C6_02090C_A:RVS167:BEM2:CRN1:LRG1:RHO1:HST7:AXL1:WAL1	9986:44853:51286:5881:32153:31560:1990531:31562:30140:32177:31520:1902716:5875:120105:145:131:5794:5938:10494:778:110085:44732:1903561:71521:5737:936:5884:31521:5937:30428:61645:144:5934:70250:120104:30446:51285:5829:1990819:120171:45160:30479:33101:140224:5628:72324:70867:329:30427:5816:35841:148:5635:935:43332:1400:5935:71341:16020:5634:32168:5576:30139:32154:1990528:5886:5622:31097:142:5777:1990615:31561:133:9277:5933:5802:90726:16021:72686:5876:1411:12505:35974
5937	mating projection	"45 out of 2105 genes, 2.1%"	"79 out of 6473 background genes, 1.2%"	0.00341	0.29%	KEL1:MOB2:GSC1:ENG1:SOG2:BUD6:CBK1:PEA2:KIP4:SPA2:BNI1:KAR9:ROM2:KIC1:MKK2:IFF6:RAS1:CAS4:YCK2:HST6:C4_00420C_A:BEM1:BEM3:C4_03110W_A:HWP1:FAV1:MYO5:SEC3:CEK1:C5_00570W_A:CDC24:CST20:C5_03960W_A:C6_00260W_A:FIG1:ACF2:C6_02090C_A:RVS167:BEM2:CRN1:LRG1:RHO1:HST7:AXL1:WAL1	9986:44853:51286:5881:32153:31560:1990531:31562:30140:32177:31520:1902716:5875:120105:145:131:5794:5938:10494:778:110085:44732:1903561:71521:5737:936:5884:31521:5937:30428:61645:144:5934:70250:120104:30446:51285:5829:1990819:120171:45160:30479:33101:140224:5628:72324:70867:329:30427:5816:35841:148:5635:935:43332:1400:5935:71341:16020:5634:32168:5576:30139:32154:1990528:5886:5622:31097:142:5777:1990615:31561:133:9277:5933:5802:90726:16021:72686:5876:1411:12505:35974
5667	transcription regulator complex	"43 out of 2105 genes, 2.0%"	"78 out of 6473 background genes, 1.2%"	0.0166	0.36%	TUP1:SWI4:C1_01820C_A:TAF145:HAP2:MED15:SWI6:TFA1:C1_10120C_A:HAP43:C2_01490C_A:C2_02500W_A:TAF14:TAF4:CAP1:MED7:TFC4:MBP1:CTA4:C3_06550C_A:TAF12:SSN6:TFG1:HFL2:C4_04120C_A:SKN7:HAP5:TAC1:MED14:C5_03830C_A:C6_00640C_A:C6_02280W_A:TSM1:C7_01400C_A:C7_01650W_A:MED16:TAF10:CR_01420W_A:TAF12L:CR_04450C_A:CR_05560W_A:RRN11:MED21	127:5673:5669:70985:46695:5667:1990467:124:16514:5737:16602:90575:17054:5829:33309:5730:439:70847:70860:17053:5675:31011:97550:112:126:5634:70822:500:1990468:33100:5674:16592:30907:89716
30864	cortical actin cytoskeleton	"40 out of 2105 genes, 1.9%"	"72 out of 6473 background genes, 1.1%"	0.02473	0.35%	CMP1:GSC1:RGD1:BBC1:C1_10090C_A:C1_10540C_A:CTA3:BNI1:C2_01390W_A:SLA1:PAN1:SCP1:DBF2:ARP3:VRP1:C3_01510W_A:PIN3:C4_00780C_A:RGA2:ABP1:MYO5:MYO1:CST20:INT1:GRR1:SAC6:RVS167:C7_00410C_A:C7_00670C_A:IQG1:CRN1:SLA2:BNR1:CR_00600C_A:CR_01180W_A:INN1:SRV2:CR_08290W_A:CR_08980C_A:WAL1	99079:9986:44853:51286:120106:32153:44697:110131:5955:930:32177:31520:1902716:120105:5768:131:5794:5938:110085:120155:16460:35838:44732:1903561:71521:5737:936:5884:31521:30428:5934:120104:98753:51285:5829:1990819:45160:30479:140224:5628:30427:5816:5621:1990964:35841:148:5940:19005:935:43332:32432:5935:71341:16020:5634:5885:30139:32154:8290:1990528:5886:5622:31097:142:133:5933:16021:5876:34973:5643:1411
932	P-body	"23 out of 2105 genes, 1.1%"	"35 out of 6473 background genes, 0.5%"	0.0323	0.33%	C1_02850W_A:C1_05420W_A:C1_06600W_A:DHH1:CCR4:PSP1:KEM1:TPK2:TIF4631:C3_02160C_A:C3_05880C_A:C3_06700C_A:C3_07100C_A:C4_03290W_A:C4_04870C_A:GIS2:SSD1:C6_02690C_A:C6_03380W_A:POP2:C6_04290W_A:WHI3:DCP2	98562:22627:1990726:30015:1990861:776:10494:324:42788:5952:5737:30014:98745:5829:16593:932:5935:48471:90512:5634:16281:5933:5844:34399:32592
90575	RNA polymerase II transcription regulator complex	"34 out of 2105 genes, 1.6%"	"60 out of 6473 background genes, 0.9%"	0.05396	0.32%	SWI4:C1_01820C_A:TAF145:HAP2:MED15:SWI6:TFA1:C1_10120C_A:HAP43:C2_01490C_A:C2_02500W_A:TAF14:TAF4:CAP1:MED7:MBP1:CTA4:C3_06550C_A:TAF12:TFG1:C4_04120C_A:SKN7:HAP5:MED14:C5_03830C_A:C6_00640C_A:C6_02280W_A:TSM1:MED16:TAF10:TAF12L:CR_04450C_A:CR_05560W_A:MED21	5673:5669:70985:46695:1990467:124:16514:5737:16602:90575:5829:33309:439:70847:5675:31011:97550:112:5634:70822:1990468:33100:5674:16592:30907:89716
70603	SWI/SNF superfamily-type complex	"29 out of 2105 genes, 1.4%"	"49 out of 6473 background genes, 0.8%"	0.06113	0.31%	ARP8:RSC2:RTT102:C1_10330C_A:RSC8:NRI1:SNF2:C2_03900C_A:TAF14:C2_04620W_A:C2_04770W_A:SNF12:C2_07110C_A:SWR1:C2_08720W_A:C3_01210C_A:STH1:SNF5:ISW2:SWI1:C4_01130C_A:C4_06450W_A:BDF1:C6_02430W_A:ARP4:C7_00910C_A:YAF9:SWC4:CR_04720C_A	5669:812:5880:36436:1990467:16586:35267:16514:5737:5829:36437:43189:31011:228:5634:1990468:33100:5674:8623:16592:34399
71944	cell periphery	"293 out of 2105 genes, 13.9%"	"762 out of 6473 background genes, 11.8%"	0.07919	0.30%	KEL1:PHR2:MOB2:CMP1:CCH1:SIZ1:PTR3:SEP7:TIM21:GSC1:ECM33:SEC62:AGE1:ENG1:HMG1:PDR16:BNI4:C1_03940W_A:POR1:C1_04200C_A:SYG1:TCO89:KOG1:PHO87:PGA45:RGD1:NPR1:ATC1:GAP4:C1_07440W_A:IST2:BBC1:C1_07590C_A:CDR4:BUD6:C1_08180C_A:NOT5:OPY2:C1_08540C_A:COX5:PGA6:AOX2:C1_10090C_A:GCA1:CBK1:C1_10540C_A:PEA2:C1_11250W_A:GIN4:CTA3:LCB4:MSO1:RAX2:SPA2:BNI1:SEC2:C1_13290W_A:AGC1:KEM1:HYR1:KAR9:SIM1:RBE1:SMF3:SOD4:SOD5:HGT7:HGT8:BCY1:C2_01390W_A:SLA1:MSB2:SRD1:SPR3:ROM2:PAN1:STE11:ITR1:CYT1:ATP4:PNG2:CNT:PMT4:SCP1:RTA3:RTA2:DBF2:FRP3:LSP1:SMF12:ARP3:TOR1:SSC1:VRP1:DSE1:RSP5:YWP1:IPP1:PIR1:IFF6:KAR3:EAP1:FCY21:C2_10010C_A:MP65:RAS1:KIP2:FLO9:IFF11:C3_00790W_A:MSS4:C3_01510W_A:CAS4:AFG3:GPA2:MEP1:ALR1:PAM17:C3_03110W_A:NDE1:WSC1:C3_04360W_A:RIP1:RAX1:PIN3:HGT4:HGT5:C3_05420W_A:TEA1:YCK2:SAM50:KRE6:ALS6:ALS7:HST6:C3_06610W_A:FESUR1:SLK19:EVP1:SEC61:CNH1:PHR3:RBT5:MET15:ATP2:C4_00420C_A:PGA10:TOK1:C4_00780C_A:HGT17:PGA53:BEM1:PHO89:RGA2:C4_02150C_A:BGL2:BEM3:PGA59:PGA62:CRH11:ABP1:C4_03110W_A:DOT4:ECE1:HWP2:RBT1:HWP1:OSH3:PGA30:PGA31:AXL2:C4_04240C_A:COX11:PHR1:C4_04800W_A:SSK2:MYO5:C4_06130W_A:SEC3:IFF5:PDC11:BUD2:C5_00570W_A:ERG11:IFF8:HYR3:C5_00760W_A:CYC3:GPR1:SNF1:MYO1:CDC24:CST20:INT1:C5_02500C_A:HSL1:C5_03170C_A:QCR2:C5_03960W_A:C5_03970W_A:MID1:C5_04050W_A:SCW11:CHT2:SAH1:GRR1:C5_04950C_A:PGA4:C6_00260W_A:RPS13:CTR1:SUN41:SEC9:QDR3:FIG1:C6_01520W_A:PTK2:SLM2:HRR25:SAC6:MDR1:ALS5:ALS1:ALS9:SNF4:RVS167:C6_04100W_A:ALS4:ALS2:NAG6:SAC7:CSA1:C7_00190W_A:DFI1:C7_00410C_A:C7_00670C_A:SSR1:BEM2:C7_01710W_A:IQG1:CRN1:NUC2:HSP90:EXO70:SEC1:C7_02370W_A:TOM70:CYR1:RBR3:C7_03480W_A:SLA2:BNR1:CHT1:KIN2:CR_00600C_A:IFF4:SLN1:CR_01180W_A:RSR1:CR_02210W_A:GEF2:INN1:RHO1:CR_03530W_A:IFF3:TAL1:HGT3:IFF9:SRV2:FDH1:PPZ1:STE2:CR_06640C_A:ALS3:CR_07190W_A:HGT16:RGD3:TSC11:VPS21:SSB1:ACO1:CR_08290W_A:CR_08380C_A:PGA13:CR_08980C_A:CHS2:SSU1:CR_09520C_A:WAL1:PMT5:CHT3:CR_10800C_A:XYL2	99079:9986:5744:44853:30122:36286:46658:51286:5881:5759:1990023:120106:5887:32153:22627:31560:44697:5797:45261:97586:1990531:110131:31562:5955:30140:930:32177:30015:5784:31520:5789:1902716:35371:31160:5875:5880:120105:776:145:5761:62040:131:5768:5794:5938:1990498:30287:10494:5741:1903754:778:99070:110085:31965:120155:324:31234:16460:1904511:35838:44732:5952:1903561:922:5641:1401:71521:5737:936:51233:35840:5884:31521:10008:71782:5937:30428:61645:45121:97002:5769:30014:144:5934:70250:120104:5742:98753:45009:30446:51285:1990315:30061:5829:71561:1990819:5783:120171:45160:30479:33101:235:5834:5730:32541:140224:61673:5628:942:42645:407:31966:30133:70867:329:30427:5816:5750:5621:35839:34064:1990964:775:35841:9898:151:148:44284:5940:19005:932:5635:31931:935:30688:31201:5751:43332:1400:42175:30176:32473:110115:32432:36362:30134:228:31105:5935:30445:1990873:70850:48471:31207:32178:97038:71944:90512:71341:32126:5819:70319:16020:5634:61617:32168:32174:5576:5885:30139:5745:5619:32154:1990816:8290:1990528:46809:5886:19898:31307:5622:142:31097:31410:5777:1990615:31561:31932:133:5743:31588:9277:5933:5754:5740:5802:19897:31314:90726:15630:274:306:55028:35842:33551:5774:16021:5844:5770:72686:5811:5876:1405:5758:34973:5872:5739:5643:36449:1411:12505:35974:34399
